counterparty,geography,evidence,limits,nextAsk
"NebraskaLink Holdings, LLC d/b/a OPTK Networks","1623 Farnam, Omaha to Denver; CoreSite DE1 is a common advertised Denver facility candidate, not a verified endpoint of the specific marketed OPTK path",OmahaIX publishes separate GPC and OPTK participant ports; both advertise 1623 Farnam and CoreSite DE1 in PeeringDB. The facility case study reports a completed OPTK Denver-Omaha path. No bilateral GPC-OPTK NNI or exact path to DE1 is verified. [NE_A03] [NE_A05] [NE_A06] [NE_A07] [NE_A11] [NE_A12] [NE_A13] [NE_A14] [NE_A15] [NE_A21],"Public records establish a historical mixed facilities model and an order-based PDR framework. Current span title, lease/IRU term, capacity availability and assignability are unknown. Approval is for diligence, not a new-endpoint or diversity claim. Do not count the same OPTK opportunity as separate Omaha and Denver acquisitions.","Request current bilateral service schedule, LOA/CFA, circuit and demarcation IDs; map Denver endpoint; obtain span KMZ, shared-risk crossings, entrances, fiber/IRU/lease schedule, spare capacity, consent rules and binding service quote."
Viaero Fiber Networks,"Company-described builds from Fort Morgan to Scottsbluff and Grand Island, with La Junta also named; exact facility/splice endpoints unknown",Company history places the named build in 2016-2018; current Fiber site markets relevant wholesale products. No GPC-Viaero connection is verified. [NE_A19] [NE_A20],"Viaero markets owned/operated fiber and a wholesale product portfolio. No specific cable, ROW, IRU, capacity or carve-out rights have been verified. Route diversity, exact tie point, unencumbered spare fiber and seller willingness remain unknown. The city sequence is not as-built geometry.","Require named GPC handoff and site survey, route KMZ, shared-risk comparison, fiber allocation and wireless commitments, title/ROW chain and priced contract options."
"Pinpoint Holdings, Pinpoint Communications and Cambridge Telephone, subject to current entity verification",Cambridge/Bartley and other currently marketed southwest Nebraska business/residential communities; Omaha IX participation is a separate identity/right-verification lead,"Current Pinpoint site markets named local services. The proposed grant-asset perimeter is identified in a 2023 filing. No continuous transport corridor, completed Bartley North build or GPC handoff is certified here. [NE_A08] [NE_A09] [NE_A18] [NE_A03] [NE_A32]","The Bartley North attachment names Cambridge as owner of proposed grant-area assets and Pinpoint as reseller under common Pinpoint Holdings ownership. It is not a present full-network title schedule. Weaker route case than OPTK or Viaero. Do not re-acquire on paper the backbone already sold in 2016, or assume all present assets were retained at that time rather than built later.","Reconcile sold, excluded, retained and subsequently built assets; verify legal entities/ASNs, current cap table, grant completion/encumbrances, customer mix, on-net enterprise buildings, current backhaul contracts and assignability."
Joink,FD-IX Indianapolis; 733 W. Henry; Equinix Chicago; 900 Walnut,Self-reported common endpoints only; no bilateral connection established [IM_P01] [IM_P02] [IM_P05],"Underlying transport, colocation and strand rights unknown Use as a shortlist for interconnection design; no physical diversity or revenue synergy credit.","Confirm exact demarcs, LOA/CFA, circuit design, optical layer, local/remote IX access and shared-risk routes."
NITCO,Equinix Chicago; separate local operating cases in Chesterton and East Chicago,Chicago registry co-listing; no municipal-to-GPC path established [IM_P01] [IM_P03] [IM_P17] [IM_P18],Municipal license/operating roles require current contracts; city owns the East Chicago plant identified in the 2022 record Do not sell this as acquisition of the municipal fiber or name the four unnamed data centers.,"Review current operating agreements, assignment/termination provisions and path to a named demarc."
Metro,"350 E. Cermak, Chicago; STLIX / 900 Walnut, St. Louis",Registry co-listings only; no GPC-Metro cross-connect or acquired-span handoff verified [IM_P01] [IM_P04] [IM_P06] [IM_P07] [IM_P08] [IM_P20] [IM_P21],"Generic products exist; acquired-span title, collateral and consent perimeter unknown Chicago labels are one address. Acquisition and facility presence must remain separate facts.","Obtain post-close asset and lien schedules, A/Z quote, assignment rights and physical shared-risk drawings."
Bluebird,"Netrality 1102 Grand, Kansas City",Dated ecosystem listing; no bilateral NNI confirmed [IM_P19] [IM_P22],"Facility access, bilateral agreement and segment rights remain unverified Existing-facility commercial lead only. No assumed route diversity, available port or ownership.","Confirm current suite/MMR and port inventory, exact service endpoints, rights holder and entrance/conduit paths."
Bluebird / Missouri Network Alliance,Jefferson City-Washington; Washington-Rolla; Rolla-Strafford; Springfield-Carthage,"Planned project scope; segment completion, acceptance and orderability unknown [IM_P15] [IM_P16]","Award/design evidence only; current title and grant/lease constraints unverified Approved as a construction-status diligence list only; no operating-mile, IRU-availability or completed end-to-end continuity claim.","Get grant scope reconciliation, span-level acceptance and as-builts, rights register and service-ready notices."
New Lisbon,FD-IX Indianapolis,Public registry lists a port; no bilateral session or physical route verified [IM_P01] [IM_P23],Transport to exchange and local-versus-remote access unknown The 2020 peering-info timestamp limits freshness; Whitewater route completion was not independently re-audited here.,Confirm IX access and live status; retain recorded completion gap pending grant closeout.
123NET / Michigan endpoints,"123NET DC1, 24700 Northwestern Hwy, Southfield, MI 48075; DET-IX core switch fabric at DC1","DC1 and the DET-IX core are operating, named endpoints. 123NET and Omni Fiber have listed exchange ports. [MI04] [MI05] [MI06] [MI13]","The DET-IX roster generated on 2026-09-20 contains no Great Plains Communications or Rightfiber name match. The public record therefore does not prove a Rightfiber/GPC port, peering session, NNI, cross-connect or route into DC1. Do not lead with ownership. Compare the priced port and transport solution against the incremental margin and control that an asset transfer would add.","Request a budgetary 10G and 100G port and cross-connect package at DC1, including LOA/CFA, install interval, recurring cost, available capacity, route diversity and handoff demarcation. In parallel, ask whether GPC ASNs can join DET-IX directly or through a transport reseller. Stop if: No assignable rack or port capacity, no economical path from an existing GPC POP, or both A/Z paths share the same entrance, duct or upstream carrier."
123NET / Michigan endpoints,"123NET DC2, 24275 Northwestern Hwy, Southfield, MI 48075; 123NET DC3, 24245 Northwestern Hwy, Southfield, MI 48075",DC2 and DC3 are named 123NET facilities and DET-IX locations. [MI04] [MI07] [MI08],"Three nearby Southfield buildings do not establish physical path diversity. The reviewed sources do not establish that GPC enters either building or that an A/Z pair avoids shared Northwestern Highway conduit, power or upstream risks. Facility or fiber ownership is unnecessary unless the dual-site test proves durable demand and third-party terms prevent economical scale.","Quote one primary cross-connect at DC1 and one backup at DC2 or DC3. Require as-built path, entrance-vault, duct, splice, power and upstream-carrier separation before paying for a second circuit. Stop if: The two circuits share a building entrance, conduit segment, splice case, power dependency or single upstream carrier."
123NET / Michigan endpoints,"365 Data Centers, 24660 Lahser Rd, Southfield, MI 48033; EdgeConneX DET01, 21005 Lahser Rd, Building 4, Southfield, MI 48033",123NET/DET-IX can be reached at identified third-party Southfield colocation facilities. [MI04] [MI09] [MI10],"Carrier lists show potential counterparties, not a contracted GPC path. A DET-IX location is not proof that every member is present at every facility or that the exchange extension is physically diverse from DC1. No ownership case is established by the reviewed sources. These are third-party facilities whose value is access and optionality.","Ask existing GPC upstreams or carrier partners for a protected Ethernet or wavelength quote into EdgeConneX DET01 and 365 Southfield, then compare the two LOA/CFA and shared-risk groups. Order a short-term port only where an existing GPC carrier already has a usable demarcation. Stop if: No current carrier can deliver to GPC at an economic rate, or both quotes backhaul over the same Chicago-to-Detroit or Southfield metro span."
